Type,Date,Price,Position_Size,Capital,Trailing_Stop,ATR,Profit,Exit_Reason
Buy,2021-06-02 11:00:00,109.793,1910.4497814774954,104877.00642887934,106.49921,0.08799923413674238,,
Sell,2021-06-04 20:00:00,109.476,,104271.39384815095,,,-605.61258072838,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-06-14 19:00:00,110.048,1895.0166081737234,104271.39384815095,106.74656,0.07580311442985457,,
Sell,2021-06-18 06:00:00,110.06,,104294.13404744904,,,22.740199298085543,Short MA Crossed Below Medium MA
Buy,2021-06-22 04:00:00,110.452,1888.4969769211793,104294.13404744904,107.13843999999999,0.10855442321837594,,
Sell,2021-06-25 13:00:00,110.535,,104450.8792965335,,,156.74524908445488,Short MA Crossed Below Medium MA
Buy,2021-07-01 00:00:00,111.08,1880.6424072116224,104450.8792965335,107.74759999999999,0.08835384892745524,,
Sell,2021-07-05 03:00:00,111.119,,104524.22435041476,,,73.34505388125605,Short MA Crossed Below Medium MA
Buy,2021-08-09 13:00:00,110.11,1898.54190083398,104524.22435041476,106.80669999999999,0.08183757263638947,,
Sell,2021-08-12 04:00:00,110.416,,105105.17817206995,,,580.9538216551929,Short MA Crossed Below Medium MA
Buy,2021-08-19 04:00:00,110.171,1908.037109077161,105105.17817206995,106.86587,0.09990684107022492,,
Sell,2021-08-20 15:00:00,109.766,,104332.4231428937,,,-772.7550291762524,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-09-24 01:00:00,110.318,1891.4850367645117,104332.4231428937,107.00846,0.08620542882777495,,
Sell,2021-10-01 01:00:00,111.299,,106187.96996395971,,,1855.5468210660026,Short MA Crossed Below Medium MA
Buy,2021-10-05 21:00:00,111.477,1905.1099323440658,106187.96996395971,108.13269,0.10776162002831426,,
Sell,2021-10-21 00:00:00,114.279,,111526.08799438777,,,5338.118030428058,Short MA Crossed Below Medium MA
Buy,2021-10-26 16:00:00,114.173,1953.6333107545174,111526.08799438777,110.74781,0.11831292781727162,,
Sell,2021-10-27 16:00:00,113.726,,110652.81390448048,,,-873.2740899072746,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-11-02 07:00:00,113.656,1947.1530566706638,110652.81390448048,110.24632,0.12928477847858552,,
Sell,2021-11-02 10:00:00,113.569,,110483.41158855014,,,-169.40231593035418,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-11-11 20:00:00,114.07,1937.1160092671191,110483.41158855014,110.64789999999999,0.10537339064239823,,
Sell,2021-11-15 13:00:00,113.872,,110099.86261871525,,,-383.5489698348766,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-11-22 16:00:00,114.685,1920.03945797123,110099.86261871525,111.24445,0.16061325647719854,,
Sell,2021-11-26 05:00:00,114.651,,110034.58127714423,,,-65.28134157103338,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-12-28 04:00:00,114.855,1916.0607945173344,110034.58127714423,111.40935,0.07384496128984218,,
Sell,2022-01-06 18:00:00,115.851,,111942.97782848349,,,1908.3965513392557,Short MA Crossed Below Medium MA
Buy,2022-01-31 03:00:00,115.537,1937.7857799403391,111942.97782848349,112.07089,0.14404146249885524,,
Sell,2022-02-01 01:00:00,115.051,,111001.21393943248,,,-941.7638890510129,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2022-02-10 10:00:00,115.831,1916.6063305925438,111001.21393943248,112.35607,0.10488519594954047,,
Sell,2022-02-14 00:00:00,115.396,,110167.49018562472,,,-833.7237538077609,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2022-02-28 20:00:00,114.955,1916.706366589095,110167.49018562472,111.50635,0.15371770589100361,,
Sell,2022-02-28 21:00:00,114.961,,110178.99042382425,,,11.500238199535007,MA300 Slope Turned Negative
Buy,2022-03-04 00:00:00,115.409,1909.365654737919,110178.99042382425,111.94673,0.09761572302606725,,
Sell,2022-03-04 16:00:00,114.653,,108735.50998884237,,,-1443.4804349818671,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2022-03-08 17:00:00,115.6,1881.2371970387956,108735.50998884237,112.13199999999999,0.12898875529264045,,
Sell,2022-03-30 01:00:00,122.34,,121415.04869688387,,,12679.538708041498,Short MA Crossed Below Medium MA
Buy,2022-04-01 14:00:00,122.834,1976.8964406741434,121415.04869688387,119.14898,0.2583378330036722,,
Sell,2022-04-14 07:00:00,125.336,,126361.24359145056,,,4946.194894566697,Short MA Crossed Below Medium MA
Buy,2022-04-14 17:00:00,125.964,2006.3072559056645,126361.24359145056,122.18508,0.21077329809121398,,
Sell,2022-04-22 11:00:00,128.266,,130979.76289454539,,,4618.519303094825,Short MA Crossed Below Medium MA
Buy,2022-04-28 18:00:00,130.897,2001.2645499063447,130979.76289454539,126.97008999999998,0.38954414768041074,,
Sell,2022-05-03 03:00:00,129.984,,129152.60836048094,,,-1827.1545340644577,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2022-05-06 04:00:00,130.562,1978.4103852649457,129152.60836048094,126.64514000000001,0.2508695142154092,,
Sell,2022-05-10 05:00:00,130.348,,128729.22853803424,,,-423.3798224466957,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2022-06-03 20:00:00,130.781,1968.6227898247334,128729.22853803424,126.85757,0.16523660930132542,,
Sell,2022-06-14 00:00:00,134.15,,135361.51871695375,,,6632.290178919527,Short MA Crossed Below Medium MA
Buy,2022-06-17 14:00:00,135.28,2001.2051850525393,135361.51871695375,131.2216,0.5267287069149355,,
Sell,2022-06-23 11:00:00,135.582,,135965.8826828396,,,604.3639658858518,Short MA Crossed Below Medium MA
Buy,2022-06-28 13:00:00,136.229,1996.1371320767178,135965.8826828396,132.14213,0.23377216533036457,,
Sell,2022-06-30 19:00:00,135.691,,134891.96090578233,,,-1073.921777057296,Short MA Crossed Below Medium MA (Triggered Trading Halt)
